,Vreme,SO2 [ug.m-3],O3 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],V [m/s],dd [°],P [mb],t [°C]
0,2019-10-12 17:00:00,20.78,48.59,21.68,28.16,0.34,4.16,0.42,115.59,1015.67,22.81
1,2019-10-12 18:00:00,14.82,35.95,23.31,29.73,0.36,4.22,0.91,131.52,1015.93,19.13
2,2019-10-12 19:00:00,12.47,40.89,18.9,25.31,0.33,4.15,0.95,131.06,1016.32,17.23
3,2019-10-12 20:00:00,12.04,44.82,14.8,22.19,0.28,4.78,0.99,137.33,1016.57,16.24
4,2019-10-12 21:00:00,12.45,55.13,11.64,17.97,0.25,4.14,0.86,136.7,1016.87,15.72
5,2019-10-12 22:00:00,12.3,58.09,11.05,16.55,0.23,3.64,0.76,142.26,1016.92,15.55
6,2019-10-12 23:00:00,12.19,60.57,7.45,13.14,0.18,3.7,0.8,142.58,1016.77,14.94
7,2019-10-13 00:00:00,11.75,66.02,5.8,8.88,0.12,1.99,0.98,137.23,1016.74,14.75
8,2019-10-13 01:00:00,11.57,44.45,17.94,23.96,0.17,3.87,0.3,123.62,1016.75,14.74
9,2019-10-13 02:00:00,11.55,31.23,22.76,29.2,0.19,4.25,0.31,124.94,1016.64,14.43
10,2019-10-13 03:00:00,11.43,51.31,7.22,13.08,0.11,3.83,0.29,131.41,1016.56,13.32
11,2019-10-13 04:00:00,10.74,12.33,17.86,25.16,0.24,4.81,0.51,139.38,1016.66,12.36
12,2019-10-13 05:00:00,10.53,40.96,8.96,14.06,0.11,3.38,0.46,125.3,1016.68,11.96
13,2019-10-13 06:00:00,10.71,41.12,5.84,11.21,0.11,3.46,0.47,116.28,1016.74,12.29
14,2019-10-13 07:00:00,10.74,23.62,17.61,38.98,0.21,14.37,0.15,112.86,1017.11,12.69
15,2019-10-13 08:00:00,12.27,20.18,19.86,32.81,0.25,8.37,0.27,92.91,1017.7,15.27
16,2019-10-13 09:00:00,13.48,34.4,20.2,34.94,0.32,9.72,0.32,54.25,1017.84,18.9
17,2019-10-13 10:00:00,17.28,63.13,14.74,23.78,0.32,5.86,0.39,39.02,1017.85,21.73
18,2019-10-13 11:00:00,20.38,70.34,17.61,26.4,0.34,5.7,0.24,358.71,1017.73,23.14
19,2019-10-13 12:00:00,24.24,88.21,17.09,23.34,0.32,4.08,0.57,115.41,1017.33,23.97
20,2019-10-13 13:00:00,23.37,99.12,15.35,22.02,0.31,4.32,0.67,156.11,1016.82,25.1
21,2019-10-13 14:00:00,20.43,106.11,13.3,20.1,0.29,4.43,0.65,150.75,1016.09,25.11
22,2019-10-13 15:00:00,18.11,107.57,11.68,18.05,0.31,4.14,0.31,112.74,1015.66,25.52
23,2019-10-13 16:00:00,15.5,83.81,15.04,20.93,0.44,3.77,0.03,117.48,1015.33,24.86
24,2019-10-13 17:00:00,15.66,62.62,27.59,34.3,0.61,4.4,0.66,129.54,1015.28,22.63
25,2019-10-13 18:00:00,13.24,57.74,21.43,28.63,0.42,4.68,0.8,127.27,1015.69,19.97
26,2019-10-13 19:00:00,11.94,58.18,18.86,24.29,0.41,3.63,0.76,125.25,1016.11,18.2
27,2019-10-13 20:00:00,11.21,64.04,13.31,20.56,0.32,4.72,1.04,131.08,1016.23,17.09
28,2019-10-13 21:00:00,11.64,68.89,13.75,18.45,0.29,3.05,0.87,138.57,1016.29,17.12
29,2019-10-13 22:00:00,11.95,69.35,,,0.28,,0.71,132.87,1016.4,16.9
30,2019-10-13 23:00:00,11.87,56.81,12.06,17.96,,3.78,0.5,125.71,1016.41,16.4
31,2019-10-14 00:00:00,10.85,11.85,29.26,39.35,0.37,6.67,0.59,128.45,1016.31,14.8
32,2019-10-14 01:00:00,10.72,41.3,10.97,16.43,0.29,3.56,0.57,129.43,1016.09,14.48
33,2019-10-14 02:00:00,,,10.45,17.19,0.28,4.38,0.49,117.29,1015.86,14.23
34,2019-10-14 03:00:00,10.43,51.49,4.18,9.29,0.24,3.37,0.6,124.51,1015.47,14.73
35,2019-10-14 04:00:00,11.18,48.46,5.28,10.43,0.22,3.33,0.44,127.93,1015.5,15.18
36,2019-10-14 05:00:00,11.12,35.13,8.78,15.57,0.21,4.42,0.37,130.04,1015.67,14.53
37,2019-10-14 06:00:00,10.98,18.58,15.65,23.17,0.24,4.84,0.41,120.84,1015.57,13.68
38,2019-10-14 07:00:00,11.3,7.73,26.03,45.24,0.41,12.45,0.09,128.27,1015.83,14.3
39,2019-10-14 08:00:00,13.05,9.58,29.49,61.2,0.4,20.74,0.28,126.23,1016.4,16.24
40,2019-10-14 09:00:00,16.37,10.66,35.53,82.85,0.56,30.79,0.48,115.89,1016.58,19.51
41,2019-10-14 10:00:00,16.79,14.24,35.98,83.72,0.5,31.2,0.73,116.24,1016.51,20.9
42,2019-10-14 11:00:00,22.61,54.06,29.04,43.07,0.43,9.3,0.35,25.93,1016.13,23.9
43,2019-10-14 12:00:00,22.12,96.57,11.84,18.26,0.37,4.23,0.38,99.13,1015.48,25.14
44,2019-10-14 13:00:00,,,,,,,0.86,93.78,1014.4,26.17
45,2019-10-14 14:00:00,16.81,112.51,8.61,14.68,0.33,3.9,0.69,75.69,1013.89,26.67
46,2019-10-14 15:00:00,18.27,114.79,13.73,18.39,0.38,2.95,0.46,71.37,1013.36,26.49
47,2019-10-14 16:00:00,16.98,93.45,23.74,30.94,0.46,4.64,0.2,23.93,1013.04,26.14
48,2019-10-14 17:00:00,15.64,58.16,36.26,44.87,0.56,5.64,0.34,121.95,1012.82,24.49
49,2019-10-14 18:00:00,13.56,53.6,27.85,33.58,0.44,3.79,0.95,145.87,1012.95,21.37
50,2019-10-14 19:00:00,13.14,62.1,20.15,25.9,0.37,3.8,0.85,137.42,1012.99,19.44
51,2019-10-14 20:00:00,12.64,61.86,18.68,24.66,0.37,3.91,0.92,133.09,1012.89,18.47
52,2019-10-14 21:00:00,12.11,44.19,22.51,30.84,0.38,5.39,0.31,118.65,1012.93,18.09
53,2019-10-14 22:00:00,11.95,45.74,18.71,25.07,0.32,4.24,0.54,133.47,1012.71,17.44
54,2019-10-14 23:00:00,11.7,27.11,19.48,28.87,0.34,6.14,0.22,121.09,1012.49,16.53
55,2019-10-15 00:00:00,10.72,31.4,13.53,20.01,0.28,4.22,0.28,125.87,1012.21,16.28
56,2019-10-15 01:00:00,11.27,30.6,10.68,16.6,0.28,3.85,0.42,123.41,1012.03,15.92
57,2019-10-15 02:00:00,11.29,19.11,15.06,21.98,0.25,4.49,0.34,114.19,1011.64,15.11
58,2019-10-15 03:00:00,11.13,22.75,9.61,18.21,0.25,5.62,0.29,114.45,1011.48,14.79
59,2019-10-15 04:00:00,11.52,21.09,7.27,13.91,0.25,4.27,0.29,128.09,1011.63,14.47
60,2019-10-15 05:00:00,11.38,18.3,13.77,22.63,0.25,5.7,0.36,118.44,1011.38,14.41
61,2019-10-15 06:00:00,11.43,13.44,17.43,26.23,0.33,5.64,0.23,114.97,1011.26,14.33
62,2019-10-15 07:00:00,11.77,2.96,20.81,46.82,0.61,16.96,0.41,179.67,1011.63,13.86
63,2019-10-15 08:00:00,12.49,12.83,16.35,36.75,0.49,13.36,0.37,161.38,1012.3,15.16
64,2019-10-15 09:00:00,20.81,34.7,28.1,47.89,0.51,12.98,0.32,306.94,1012.34,18.76
65,2019-10-15 10:00:00,21.27,46.26,19.48,29.93,0.41,6.41,0.45,312.44,1012.31,21.47
66,2019-10-15 11:00:00,23.63,73.85,14.17,22.97,0.36,5.42,0.23,322.59,1012.13,23.17
67,2019-10-15 12:00:00,26.67,92.43,12.76,18.55,0.35,3.74,0.35,142.71,1011.51,24.53
68,2019-10-15 13:00:00,27.31,104.45,12.81,18.41,0.35,3.65,0.46,149.45,1010.78,25.45
69,2019-10-15 14:00:00,26.71,109.26,15.61,23.07,0.37,4.77,0.39,44.03,1010.15,26.62
70,2019-10-15 15:00:00,25.53,120.99,13.9,19.19,0.44,3.45,0.33,89.51,1009.55,26.57
71,2019-10-15 16:00:00,23.1,112.68,19.1,26.1,0.44,4.48,0.21,93.15,1008.96,25.5
72,2019-10-15 17:00:00,18.2,73.79,30.11,36.57,0.53,4.15,0.22,129.06,1008.79,24.37
73,2019-10-15 18:00:00,13.97,58.61,25.31,32.76,0.41,4.91,0.93,134.75,1008.81,20.55
74,2019-10-15 19:00:00,14.0,66.81,16.65,23.86,0.34,4.73,0.92,135.68,1009.03,18.95
75,2019-10-15 20:00:00,13.18,68.06,16.36,22.46,0.39,3.96,0.71,137.65,1009.01,18.06
76,2019-10-15 21:00:00,12.85,46.87,24.14,30.6,0.48,4.16,0.39,119.25,1008.9,17.58
77,2019-10-15 22:00:00,13.39,45.43,25.7,34.14,0.53,5.49,0.33,1.29,1008.72,18.5
78,2019-10-15 23:00:00,13.48,39.24,21.04,28.62,0.49,4.99,0.18,147.9,1008.61,17.33
79,2019-10-16 00:00:00,11.89,16.49,18.38,25.65,0.49,4.77,0.28,168.86,1008.83,15.14
80,2019-10-16 01:00:00,11.6,12.23,16.55,24.74,0.47,5.34,0.39,139.06,1009.05,14.53
81,2019-10-16 02:00:00,11.9,19.17,14.68,22.71,0.39,5.19,0.45,117.68,1008.92,14.45
82,2019-10-16 03:00:00,11.97,22.24,16.07,23.22,0.32,4.65,0.59,121.3,1008.85,14.92
83,2019-10-16 04:00:00,12.35,18.3,16.24,21.82,0.33,3.71,0.42,123.67,1008.96,14.57
84,2019-10-16 05:00:00,11.79,9.5,17.82,24.61,0.33,4.46,0.5,115.88,1008.88,13.7
85,2019-10-16 06:00:00,12.04,7.17,22.76,41.03,0.41,11.94,0.12,54.84,1008.93,14.07
86,2019-10-16 07:00:00,11.86,5.21,23.34,47.13,0.53,15.46,0.35,126.7,1009.64,13.83
87,2019-10-16 08:00:00,13.8,4.77,28.71,82.15,0.61,34.34,0.15,84.19,1010.52,17.02
88,2019-10-16 09:00:00,14.3,6.65,40.72,131.45,0.76,59.57,0.43,98.96,1010.99,20.78
89,2019-10-16 10:00:00,14.29,38.28,29.88,47.67,0.36,11.68,0.56,40.18,1011.04,23.89
90,2019-10-16 11:00:00,10.13,62.59,16.57,25.64,0.27,6.08,0.52,41.05,1011.06,25.46
91,2019-10-16 12:00:00,6.13,83.54,8.07,15.44,0.19,4.83,0.48,59.02,1010.91,26.77
92,2019-10-16 13:00:00,2.19,87.43,7.05,12.58,0.16,3.61,0.62,96.31,1010.48,27.26
93,2019-10-16 14:00:00,1.18,83.25,11.64,18.37,0.18,4.47,0.41,132.47,1010.34,27.57
94,2019-10-16 15:00:00,1.7,80.73,15.05,21.93,0.23,4.38,0.28,152.19,1010.15,27.4
95,2019-10-16 16:00:00,1.29,45.81,29.42,38.82,0.36,6.03,0.13,354.19,1009.94,26.12
96,2019-10-16 17:00:00,0.63,31.7,37.56,48.97,0.37,7.5,0.05,246.04,1010.16,24.45
97,2019-10-16 18:00:00,1.1,20.64,34.18,41.35,0.4,4.65,0.67,124.32,1010.47,21.19
98,2019-10-16 19:00:00,,26.2,23.14,30.48,0.37,4.83,0.62,134.79,1011.05,19.25
99,2019-10-16 20:00:00,,20.77,20.65,27.6,0.38,4.56,0.5,162.42,1011.6,18.17
100,2019-10-16 21:00:00,,14.15,19.67,28.91,0.41,6.09,0.35,157.48,1012.22,18.11
101,2019-10-16 22:00:00,,13.34,15.99,23.27,0.34,4.77,0.29,165.3,1012.91,17.32
102,2019-10-16 23:00:00,,7.26,,,0.33,,0.58,156.99,1013.21,15.93
103,2019-10-17 00:00:00,,11.41,13.86,21.14,,4.83,0.52,123.31,1013.33,15.17
104,2019-10-17 01:00:00,,14.64,9.01,16.73,0.23,5.1,0.5,124.82,1013.46,14.83
105,2019-10-17 02:00:00,,16.49,6.63,11.94,0.19,3.46,0.57,129.5,1013.44,14.57
106,2019-10-17 03:00:00,,,4.04,10.29,0.16,4.15,0.49,148.79,1013.38,14.34
107,2019-10-17 04:00:00,,6.2,8.5,15.75,0.24,4.72,0.34,160.68,1013.53,13.62
108,2019-10-17 05:00:00,,6.72,7.45,13.86,0.2,4.17,0.46,150.49,1013.58,13.12
109,2019-10-17 06:00:00,,3.97,11.04,20.43,0.19,6.02,0.48,129.17,1013.44,12.66
110,2019-10-17 07:00:00,,2.44,11.4,28.36,0.26,11.04,0.45,168.31,1013.75,12.75
111,2019-10-17 08:00:00,,0.98,19.05,84.13,0.57,42.35,0.24,198.15,1014.56,14.08
112,2019-10-17 09:00:00,0.76,9.11,16.35,43.79,0.34,18.27,0.38,184.27,1014.66,16.15
113,2019-10-17 10:00:00,0.73,11.29,16.88,40.14,0.33,15.23,0.17,80.83,1014.54,17.93
114,2019-10-17 11:00:00,,19.99,16.5,34.84,0.3,11.97,0.41,150.24,1014.56,19.56
115,2019-10-17 12:00:00,,28.82,23.77,43.16,0.36,12.6,0.43,104.96,1014.08,22.04
116,2019-10-17 13:00:00,0.95,59.99,23.49,36.6,0.33,8.47,0.59,105.84,1013.4,23.47
117,2019-10-17 14:00:00,0.67,79.1,16.4,22.46,0.36,3.96,0.15,65.53,1012.89,24.74
118,2019-10-17 15:00:00,0.99,75.15,21.17,28.59,0.36,4.84,0.14,221.76,1012.46,25.01
119,2019-10-17 16:00:00,0.71,62.63,23.49,29.9,0.36,4.05,0.21,130.41,1012.11,23.83
120,2019-10-17 17:00:00,,21.85,44.89,57.93,0.55,8.53,0.22,122.47,1012.03,22.57
121,2019-10-17 18:00:00,,14.86,40.92,50.7,0.47,6.38,0.73,139.62,1012.15,20.19
122,2019-10-17 19:00:00,,31.49,24.84,30.97,0.39,4.04,0.74,131.76,1012.3,18.83
123,2019-10-17 20:00:00,,39.78,19.0,25.56,0.34,4.33,0.75,130.48,1012.45,17.94
124,2019-10-17 21:00:00,,41.42,19.96,25.07,0.35,3.38,0.69,136.07,1012.68,17.3
125,2019-10-17 22:00:00,,40.61,18.27,26.75,0.4,5.51,0.35,145.34,1012.76,17.2
126,2019-10-17 23:00:00,,16.27,25.44,34.89,0.45,6.15,0.45,130.7,1012.61,16.55
127,2019-10-18 00:00:00,,26.82,15.7,22.61,0.36,4.54,0.5,122.22,1012.48,15.93
128,2019-10-18 01:00:00,,32.07,10.03,16.34,0.33,4.16,0.67,117.92,1012.34,15.49
129,2019-10-18 02:00:00,,25.82,11.66,16.26,0.32,3.07,0.35,120.67,1012.07,15.14
130,2019-10-18 03:00:00,,35.45,9.56,15.29,0.3,3.72,0.29,128.86,1011.73,15.33
131,2019-10-18 04:00:00,,20.06,12.85,19.13,0.32,4.13,0.31,144.28,1011.86,14.95
132,2019-10-18 05:00:00,,13.51,10.1,17.53,0.35,4.89,0.18,118.45,1011.79,14.65
133,2019-10-18 06:00:00,,4.79,18.1,48.65,0.45,19.51,0.14,169.11,1011.83,14.66
134,2019-10-18 07:00:00,,2.72,18.66,45.5,0.5,17.42,0.51,148.57,1012.33,13.84
135,2019-10-18 08:00:00,,7.71,18.03,35.83,0.42,11.52,0.35,138.09,1012.84,14.95
136,2019-10-18 09:00:00,,28.02,21.43,34.39,0.44,8.47,0.18,169.68,1013.13,17.96
137,2019-10-18 10:00:00,10.82,57.42,13.4,20.91,0.29,5.02,0.38,308.08,1013.12,20.91
138,2019-10-18 11:00:00,16.45,61.54,13.18,20.45,0.27,4.71,0.38,300.2,1012.97,22.4
139,2019-10-18 12:00:00,,72.23,11.31,19.04,0.27,5.01,0.51,301.18,1012.5,23.65
140,2019-10-18 13:00:00,9.91,76.76,7.87,15.05,0.24,4.71,0.27,179.14,1011.76,24.46
141,2019-10-18 14:00:00,7.74,75.41,10.05,17.36,0.2,4.8,0.14,223.27,1011.12,25.28
142,2019-10-18 15:00:00,7.09,73.09,14.7,20.36,0.2,4.25,0.63,325.7,1010.79,25.29
143,2019-10-18 16:00:00,6.33,70.94,16.04,22.36,0.22,4.08,0.14,276.54,1010.66,24.1
144,2019-10-18 17:00:00,6.58,49.46,21.76,28.07,0.29,4.08,0.34,139.53,1010.78,22.48
145,2019-10-18 18:00:00,6.28,30.15,29.14,33.21,0.27,2.6,0.83,134.97,1011.06,19.45
146,2019-10-18 19:00:00,6.09,32.19,24.55,31.72,0.25,4.83,0.9,132.96,1011.21,17.58
147,2019-10-18 20:00:00,6.16,41.84,19.29,24.26,0.19,3.24,0.93,138.92,1011.43,16.89
148,2019-10-18 21:00:00,6.06,38.14,20.56,27.15,0.17,4.28,0.86,131.73,1011.69,16.41
149,2019-10-18 22:00:00,6.1,46.25,14.12,20.29,0.15,4.0,0.89,130.12,1011.52,16.47
150,2019-10-18 23:00:00,5.43,56.05,8.29,13.58,0.13,3.51,1.03,135.26,1011.53,16.59
151,2019-10-19 00:00:00,5.59,56.12,7.16,11.97,0.12,3.05,0.92,133.22,1011.46,16.22
152,2019-10-19 01:00:00,5.47,50.09,5.86,11.54,0.12,3.69,0.79,129.67,1011.63,15.81
153,2019-10-19 02:00:00,5.23,43.02,10.01,15.93,0.12,4.02,0.55,132.59,1011.74,15.67
154,2019-10-19 03:00:00,5.26,46.26,6.92,13.08,0.11,4.05,0.67,135.21,1011.62,15.16
155,2019-10-19 04:00:00,5.35,39.97,6.89,14.82,0.11,5.45,0.44,145.25,1011.72,14.74
156,2019-10-19 05:00:00,5.0,10.73,18.57,29.77,0.16,7.28,0.49,135.51,1011.79,13.61
157,2019-10-19 06:00:00,5.31,5.23,21.44,34.37,0.2,8.38,0.43,146.21,1011.92,13.28
158,2019-10-19 07:00:00,5.11,7.42,21.38,35.55,0.18,8.97,0.53,127.46,1012.08,13.04
159,2019-10-19 08:00:00,6.16,12.45,27.49,46.33,0.24,12.31,0.36,129.21,1012.63,15.08
160,2019-10-19 09:00:00,7.6,12.31,31.2,74.53,0.45,28.01,0.36,123.75,1012.75,18.85
161,2019-10-19 10:00:00,7.64,11.44,35.16,78.91,0.48,28.49,0.52,124.7,1012.71,20.04
162,2019-10-19 11:00:00,9.76,16.39,51.15,101.94,0.55,33.12,0.63,122.63,1012.42,21.87
163,2019-10-19 12:00:00,18.53,52.8,43.04,61.85,0.41,12.48,0.24,13.6,1011.86,25.1
164,2019-10-19 13:00:00,20.15,84.34,15.31,23.22,0.27,5.43,0.21,193.54,1011.39,25.76
165,2019-10-19 14:00:00,16.26,93.25,10.81,17.22,0.24,4.11,0.16,264.38,1011.13,26.36
166,2019-10-19 15:00:00,14.4,101.07,7.72,12.71,0.23,3.21,0.33,132.7,1010.92,25.99
167,2019-10-19 16:00:00,13.75,90.69,12.3,18.69,0.26,4.16,0.42,153.85,1010.94,24.64
168,2019-10-19 17:00:00,9.97,59.84,22.08,28.69,0.32,4.23,0.38,121.9,1011.22,22.78
169,2019-10-19 18:00:00,8.18,60.49,24.68,29.0,0.4,2.96,1.01,135.2,1011.53,19.55
170,2019-10-19 19:00:00,7.65,71.97,17.4,22.07,0.33,3.1,0.92,141.93,1011.74,18.25
171,2019-10-19 20:00:00,7.52,74.94,13.17,16.3,0.27,2.07,0.92,137.02,1011.97,17.68
172,2019-10-19 21:00:00,7.49,73.99,11.07,14.51,0.27,2.27,1.01,132.55,1012.17,17.2
173,2019-10-19 22:00:00,7.34,71.78,8.47,12.85,0.23,2.86,0.95,135.65,1012.35,17.08
174,2019-10-19 23:00:00,6.8,70.55,8.42,12.57,0.22,2.71,0.81,129.24,1012.4,16.58
175,2019-10-20 00:00:00,7.08,69.83,,,0.19,,0.7,118.64,1012.49,16.65
176,2019-10-20 01:00:00,7.42,70.76,6.01,10.89,,3.13,0.42,125.99,1012.39,16.77
177,2019-10-20 02:00:00,6.74,55.48,10.1,15.57,0.24,3.59,0.18,135.29,1012.39,16.61
178,2019-10-20 03:00:00,6.33,40.09,11.21,16.35,0.24,3.34,0.46,146.5,1012.38,15.12
179,2019-10-20 04:00:00,,,16.95,25.06,0.23,5.32,0.38,161.33,1012.61,14.33
180,2019-10-20 05:00:00,4.94,22.79,11.58,18.18,0.24,4.32,0.29,151.75,1012.84,13.85
181,2019-10-20 06:00:00,5.41,21.26,7.18,12.39,0.26,3.4,0.25,139.53,1013.05,13.54
182,2019-10-20 07:00:00,4.96,27.9,6.61,12.3,0.25,3.72,0.4,125.97,1013.37,13.61
183,2019-10-20 08:00:00,7.51,37.23,9.5,16.58,0.3,4.58,0.29,129.64,1014.02,15.82
184,2019-10-20 09:00:00,13.69,51.55,12.91,21.35,0.41,5.48,0.15,87.64,1014.38,19.9
185,2019-10-20 10:00:00,8.99,63.54,13.59,23.18,0.3,6.33,0.08,57.04,1014.73,23.47
186,2019-10-20 11:00:00,6.28,73.02,9.03,14.46,0.2,3.59,0.34,7.47,1014.76,24.76
187,2019-10-20 12:00:00,5.55,80.65,6.77,11.02,0.16,2.74,0.28,11.76,1014.41,25.94
188,2019-10-20 13:00:00,6.63,87.34,6.15,12.03,0.17,3.83,0.16,212.15,1013.97,26.8
189,2019-10-20 14:00:00,8.18,97.52,8.64,13.31,0.22,3.79,0.19,188.43,1013.71,27.04
190,2019-10-20 15:00:00,8.8,104.2,7.22,12.0,0.22,3.08,0.62,116.14,1013.39,26.36
191,2019-10-20 16:00:00,12.18,104.11,12.08,19.28,0.35,4.78,0.26,37.9,1013.16,25.61
192,2019-10-20 17:00:00,11.02,79.15,19.42,25.19,0.43,3.69,0.37,133.96,1013.19,23.79
193,2019-10-20 18:00:00,8.66,63.19,19.95,25.14,0.41,3.45,0.76,136.1,1013.48,20.37
194,2019-10-20 19:00:00,8.83,63.5,15.55,22.21,0.3,4.36,0.97,133.26,1013.76,18.95
195,2019-10-20 20:00:00,9.12,72.24,13.0,18.77,0.32,3.78,0.77,129.45,1013.8,18.74
196,2019-10-20 21:00:00,8.16,64.84,15.22,21.67,0.37,4.2,0.7,127.21,1014.17,18.07
197,2019-10-20 22:00:00,7.87,54.47,17.04,22.95,0.39,3.84,0.46,129.07,1014.27,17.42
198,2019-10-20 23:00:00,7.04,24.32,30.45,39.43,0.47,5.78,0.25,110.72,1014.27,17.01
199,2019-10-21 00:00:00,6.7,3.38,44.74,69.43,0.54,16.1,0.21,69.75,1014.44,16.66
200,2019-10-21 01:00:00,6.33,16.95,29.73,38.95,0.4,6.26,0.09,73.33,1014.36,16.65
201,2019-10-21 02:00:00,6.94,36.86,9.28,12.33,0.24,2.04,0.33,114.25,1014.35,16.06
202,2019-10-21 03:00:00,6.93,25.7,10.37,15.66,0.26,3.39,0.29,200.1,1014.61,15.82
203,2019-10-21 04:00:00,5.26,16.56,10.67,14.33,0.36,2.41,0.46,171.42,1015.29,13.98
204,2019-10-21 05:00:00,5.31,21.19,7.86,12.52,0.28,3.01,0.36,127.32,1015.6,13.75
205,2019-10-21 06:00:00,5.88,16.22,10.14,17.06,0.27,4.55,0.46,134.53,1015.66,13.53
206,2019-10-21 07:00:00,6.36,12.05,25.0,37.58,0.29,7.96,0.52,123.23,1015.78,13.89
207,2019-10-21 08:00:00,14.52,12.42,29.85,52.85,0.42,14.81,0.2,93.06,1016.39,16.85
208,2019-10-21 09:00:00,28.09,7.66,47.67,120.17,0.67,47.22,0.29,64.66,1016.9,20.84
209,2019-10-21 10:00:00,23.75,19.22,47.1,93.51,0.6,30.39,0.14,108.03,1017.15,23.49
210,2019-10-21 11:00:00,9.76,55.1,18.74,28.59,0.25,6.52,0.18,281.15,1017.31,25.51
211,2019-10-21 12:00:00,8.08,70.32,9.48,16.92,0.19,4.87,0.53,324.74,1017.27,26.95
212,2019-10-21 13:00:00,8.7,72.54,10.51,16.0,0.2,4.14,0.19,298.14,1016.96,27.49
213,2019-10-21 14:00:00,7.67,78.29,6.92,11.65,0.17,3.05,0.35,179.46,1016.55,28.09
214,2019-10-21 15:00:00,12.52,77.78,8.24,12.68,0.17,2.94,0.42,156.91,1016.04,28.07
215,2019-10-21 16:00:00,10.93,76.73,7.67,10.8,0.18,1.95,0.63,130.0,1015.71,26.21
216,2019-10-21 17:00:00,11.14,38.7,26.76,33.97,0.32,4.61,0.62,135.93,1015.6,24.06
217,2019-10-21 18:00:00,12.19,29.9,32.65,41.4,0.34,5.65,0.91,129.16,1015.97,21.0
218,2019-10-21 19:00:00,11.67,34.37,33.02,37.25,0.34,2.84,0.6,133.21,1016.3,19.53
219,2019-10-21 20:00:00,10.9,36.61,27.81,35.02,0.33,4.73,0.52,129.0,1016.44,18.94
220,2019-10-21 21:00:00,11.85,45.53,21.51,28.85,0.3,4.79,0.7,135.86,1016.55,18.23
221,2019-10-21 22:00:00,14.04,50.07,16.81,21.79,0.35,3.3,0.91,143.68,1016.61,17.82
222,2019-10-21 23:00:00,18.92,63.4,13.93,17.67,0.36,2.41,0.72,143.76,1016.7,18.12
223,2019-10-22 00:00:00,20.5,67.88,10.78,16.19,0.36,3.38,0.73,135.02,1016.82,18.33
224,2019-10-22 01:00:00,17.21,73.18,6.49,11.82,0.3,3.45,0.94,134.46,1016.82,17.97
225,2019-10-22 02:00:00,15.81,73.83,4.28,9.41,0.26,3.34,0.65,143.06,1016.9,17.79
226,2019-10-22 03:00:00,11.23,56.46,6.39,12.69,0.23,4.12,0.32,142.86,1016.88,16.78
227,2019-10-22 04:00:00,8.37,35.75,5.09,10.24,0.24,3.36,0.25,120.67,1017.07,15.67
228,2019-10-22 05:00:00,6.98,25.89,7.12,15.15,0.26,5.2,0.25,109.12,1017.13,15.43
229,2019-10-22 06:00:00,6.56,7.92,20.84,33.07,0.3,7.84,0.07,80.86,1017.08,15.54
230,2019-10-22 07:00:00,7.02,5.9,28.76,53.88,0.39,16.39,0.33,124.49,1017.46,15.39
231,2019-10-22 08:00:00,15.48,8.17,33.11,68.7,0.45,23.37,0.36,141.87,1018.06,17.73
232,2019-10-22 09:00:00,21.12,9.07,37.92,109.36,0.75,46.57,0.74,150.49,1018.49,19.2
233,2019-10-22 10:00:00,23.4,16.02,42.8,91.53,0.64,32.7,0.21,121.37,1018.62,22.86
234,2019-10-22 11:00:00,23.29,20.97,50.96,94.45,0.66,28.03,0.46,116.34,1018.72,24.55
235,2019-10-22 12:00:00,33.45,77.5,32.08,46.34,0.44,9.56,0.48,26.95,1018.25,27.63
236,2019-10-22 13:00:00,42.15,118.9,10.8,18.5,0.31,5.34,0.27,30.34,1017.57,29.19
237,2019-10-22 14:00:00,30.18,108.5,10.02,15.46,0.27,3.5,0.44,70.34,1017.02,29.24
